Thickness ,1.5x1.5,2x2,2.5x2.5,3x3,4x4
0.48,0.353,0.47,0.588,0.705,0.94
0.4,0.296,0.394,0.493,0.591,0.788
0.38,0.281,0.375,0.469,0.563,0.75
0.35,0.26,0.347,0.434,0.521,0.694
0.32,0.23,0.307,0.384,0.461,0.614
0.3,0.224,0.298,0.373,0.447,0.596
0.27,0.203,0.27,0.338,0.405,0.54
0.25,0.189,0.252,0.315,0.378,0.504
0.225,0.171,0.228,0.285,0.342,0.456
0.22,0.19,0.253,0.316,0.38,0.506
0.205,0.16,0.213,0.266,0.32,0.426
0.2,0.153,0.204,0.255,0.306,0.408
0.195,0.149,0.199,0.249,0.299,0.398
0.19,0.139,0.185,0.231,0.278,0.37
0.18,0.125,0.166,0.208,0.249,0.332
0.175,0.119,0.158,0.198,0.237,0.316
0.17,0.113,0.151,0.189,0.227,0.302
0.16,0.11,0.147,0.184,0.221,0.294
0.15,0.105,0.14,0.175,0.21,0.28
0.14,0.1,0.133,0.166,0.2,0.266
0.13,0.098,0.131,0.164,0.197,0.262
0.125,0.096,0.128,0.16,0.192,0.256
0.12,0.089,0.119,0.149,0.179,0.238
0.11,0.086,0.114,0.143,0.171,0.228
0.1,0.082,0.109,0.136,0.164,0.218
0.095,0.077,0.103,0.129,0.155,0.206
0.09,0.074,0.098,0.123,0.147,0.196
0.08,0.065,0.087,0.109,0.131,0.174
0.06,0.058,0.077,0.096,0.116,0.154
